Category,category_id,Subcategory,subcategory_id,amount,year
議会費,1,議会費,101,320116000,2014
総務費,2,総務管理費,201,4650664000,2014
総務費,2,徴税費,202,454659000,2014
総務費,2,戸籍住民基本台帳費,203,183557000,2014
総務費,2,選挙費,204,49228000,2014
総務費,2,統計調査費,205,31665000,2014
総務費,2,監査委員費,206,33282000,2014
民生費,3,社会福祉費,301,4663891000,2014
民生費,3,老人福祉費,302,1948796000,2014
民生費,3,同和行政費,303,417533000,2014
民生費,3,児童福祉費,304,4953573000,2014
民生費,3,生活保護費,305,1629353000,2014
民生費,3,災害救助費,306,503000,2014
衛生費,4,保健衛生費,401,2261580000,2014
衛生費,4,清掃費,402,2322174000,2014
労働費,5,労働費,501,227534000,2014
農林業費,6,農業費,601,1485443000,2014
農林業費,6,林業費,602,120257000,2014
商工費,7,商工費,701,507486000,2014
土木費,8,土木管理費,801,158682000,2014
土木費,8,道路橋りょう費,802,1199812000,2014
土木費,8,河川費,803,181391000,2014
土木費,8,都市計画費,804,1566573000,2014
土木費,8,住宅費,805,269269000,2014
消防費,9,消防費,901,2535228000,2014
教育費,10,教育総務費,1001,517975000,2014
教育費,10,小学校費,1002,1605503000,2014
教育費,10,中学校費,1003,399676000,2014
教育費,10,幼稚園費,1004,76455000,2014
教育費,10,社会教育費,1005,462663000,2014
教育費,10,保健体育費,1006,607457000,2014
災害復旧費,11,農林施設災害復旧費,1101,200000000,2014
災害復旧費,11,公共土木施設災害復旧費,1102,100000000,2014
災害復旧費,11,その他・公用施設災害復旧費,1103,30000000,2014
公債費,12,公債費,1201,6657916000,2014
予備費,13,予備費,1301,30000000,2014
